district,soil_type,pH,N_mg_per_kg,P_mg_per_kg,K_mg_per_kg,organic_carbon_pct,zinc_mg_per_kg,iron_mg_per_kg,copper_mg_per_kg,manganese_mg_per_kg,boron_mg_per_kg
JAMNAGAR,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
JUNAGADH,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
KACHCHH,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
KHEDA,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
MAHESANA,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
NARMADA,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
NAVSARI,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
PANCH MAHALS,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
PATAN,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
PORBANDAR,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
RAJKOT,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
SABAR KANTHA,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
SURAT,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
SURENDRANAGAR,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
TAPI,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
VADODARA,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
VALSAD,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
ANANTAPUR,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
CHITTOOR,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
EAST GODAVARI,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
GUNTUR,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
KADAPA,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
KRISHNA,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
KURNOOL,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
PRAKASAM,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
SPSR NELLORE,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
SRIKAKULAM,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
VISAKHAPATANAM,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
VIZIANAGARAM,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
WEST GODAVARI,Red,6.8,22500.0,35.0,180.0,3.13,1.5,15.0,1.2,8.0,0.5
BILASPUR,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
CHAMBA,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
HAMIRPUR,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
KANGRA,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
KINNAUR,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
KULLU,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
LAHUL AND SPITI,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
MANDI,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
SHIMLA,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
SIRMAUR,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
SOLAN,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
UNA,Mountain,6.2,47200.0,35.0,180.0,5.7,1.5,15.0,1.2,8.0,0.5
BAKSA,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
BARPETA,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
BONGAIGAON,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
CACHAR,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
CHIRANG,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
DARRANG,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
DHEMAJI,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
DHUBRI,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
DIBRUGARH,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
DIMA HASAO,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
GOALPARA,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
GOLAGHAT,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
HAILAKANDI,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
JORHAT,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
KAMRUP,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
KAMRUP METRO,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
KARBI ANGLONG,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
KARIMGANJ,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
KOKRAJHAR,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
LAKHIMPUR,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
MARIGAON,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
NAGAON,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
NALBARI,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
SIVASAGAR,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
SONITPUR,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
TINSUKIA,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
UDALGURI,Alluvial,5.4,39000.0,35.0,180.0,3.31,1.5,15.0,1.2,8.0,0.5
ANJAW,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
CHANGLANG,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
DIBANG VALLEY,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
EAST KAMENG,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
EAST SIANG,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
KURUNG KUMEY,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
LOHIT,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
LONGDING,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
LOWER DIBANG VALLEY,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
LOWER SUBANSIRI,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
NAMSAI,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
PAPUM PARE,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
TAWANG,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
TIRAP,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
UPPER SIANG,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
UPPER SUBANSIRI,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
WEST KAMENG,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
WEST SIANG,Mountain,5.6,58100.0,35.0,180.0,4.72,1.5,15.0,1.2,8.0,0.5
BALOD,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
BALODA BAZAR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
BALRAMPUR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
BASTAR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
BEMETARA,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
BIJAPUR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
BILASPUR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
DANTEWADA,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
DHAMTARI,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
DURG,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
GARIYABAND,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
JANJGIR-CHAMPA,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
JASHPUR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
KABIRDHAM,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
KANKER,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
KONDAGAON,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
KORBA,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
KOREA,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
MAHASAMUND,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
MUNGELI,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
NARAYANPUR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
RAIGARH,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
RAIPUR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
RAJNANDGAON,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
SUKMA,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
SURAJPUR,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
SURGUJA,Red,7.2,19100.0,35.0,180.0,1.58,1.5,15.0,1.2,8.0,0.5
BAGALKOT,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
BANGALORE RURAL,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
BELGAUM,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
BELLARY,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
BENGALURU URBAN,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
BIDAR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
BIJAPUR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
CHAMARAJANAGAR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
CHIKBALLAPUR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
CHIKMAGALUR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
CHITRADURGA,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
DAKSHIN KANNAD,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
DAVANGERE,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
DHARWAD,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
GADAG,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
GULBARGA,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
HASSAN,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
HAVERI,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
KODAGU,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
KOLAR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
KOPPAL,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
MANDYA,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
MYSORE,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
RAICHUR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
RAMANAGARA,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
SHIMOGA,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
TUMKUR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
UDUPI,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
UTTAR KANNAD,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
YADGIR,Red,7.6,14400.0,35.0,180.0,1.91,1.5,15.0,1.2,8.0,0.5
BISHNUPUR,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
CHANDEL,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
CHURACHANDPUR,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
IMPHAL EAST,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
IMPHAL WEST,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
SENAPATI,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
TAMENGLONG,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
THOUBAL,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
UKHRUL,Mountain,5.7,21200.0,35.0,180.0,2.81,1.5,15.0,1.2,8.0,0.5
ARARIA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
ARWAL,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
AURANGABAD,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
BANKA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
BEGUSARAI,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
BHAGALPUR,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
BHOJPUR,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
BUXAR,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
DARBHANGA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
GAYA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
GOPALGANJ,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
JAMUI,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
JEHANABAD,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
KAIMUR (BHABUA),Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
KATIHAR,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
KHAGARIA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
KISHANGANJ,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
LAKHISARAI,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
MADHEPURA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
MADHUBANI,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
MUNGER,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
MUZAFFARPUR,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
NALANDA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
NAWADA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
PASHCHIM CHAMPARAN,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
PATNA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
PURBI CHAMPARAN,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
PURNIA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
ROHTAS,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SAHARSA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SAMASTIPUR,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SARAN,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SHEIKHPURA,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SHEOHAR,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SITAMARHI,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SIWAN,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
SUPAUL,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
VAISHALI,Alluvial,6.3,31600.0,35.0,180.0,2.95,1.5,15.0,1.2,8.0,0.5
ALAPPUZHA,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
ERNAKULAM,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
IDUKKI,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
KANNUR,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
KASARAGOD,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
KOLLAM,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
KOTTAYAM,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
KOZHIKODE,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
MALAPPURAM,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
PALAKKAD,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
PATHANAMTHITTA,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
THIRUVANANTHAPURAM,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
THRISSUR,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
WAYANAD,Laterite,5.4,28600.0,35.0,180.0,2.85,1.5,15.0,1.2,8.0,0.5
AGAR MALWA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
ALIRAJPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
ANUPPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
ASHOKNAGAR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
BALAGHAT,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
BARWANI,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
BETUL,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
BHIND,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
BHOPAL,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
BURHANPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
CHHATARPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
CHHINDWARA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
DAMOH,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
DATIA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
DEWAS,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
DHAR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
DINDORI,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
GUNA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
GWALIOR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
HARDA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
HOSHANGABAD,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
INDORE,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
JABALPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
JHABUA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
